"MONATSZAHL","AUSPRÄGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERÄND_VORMONAT_PROZENT","VERÄND_VORJAHRESMONAT_PROZENT","ZWÖLF_MONATE_MITTELWERT"
"Arbeitslose","Deutsche",2020,"202005",24397,16690,10.42,46.18,18192
"Arbeitslose","Deutsche",2020,"202006",25052,16530,2.68,51.55,18902
"Arbeitslose","Deutsche",2020,"202007",25449,16926,1.58,50.35,19612
"Arbeitslose","Deutsche",2020,"202008",26171,17818,2.84,46.88,20308
"Arbeitslose","Deutsche",2020,"202009",25545,17068,-2.39,49.67,21015
"Arbeitslose","Deutsche",2020,"202010",24645,16878,-3.52,46.02,21662
"Arbeitslose","Deutsche",2020,"202011",23375,16303,-5.15,43.38,22251
"Arbeitslose","Deutsche",2020,"202012",22983,16557,-1.68,38.81,22787
"Arbeitslose","Deutsche",2019,"201901",18378,19921,9.39,-7.75,17925
"Arbeitslose","Deutsche",2019,"201902",17672,19220,-3.84,-8.05,17796
"Arbeitslose","Deutsche",2019,"201903",17192,18564,-2.72,-7.39,17682
"Arbeitslose","Deutsche",2019,"201904",16832,18366,-2.09,-8.35,17554
"Arbeitslose","Deutsche",2019,"201905",16690,17836,-0.84,-6.43,17458
"Arbeitslose","Deutsche",2019,"201906",16530,17721,-0.96,-6.72,17359
"Arbeitslose","Deutsche",2019,"201907",16926,17640,2.4,-4.05,17300
"Arbeitslose","Deutsche",2019,"201908",17818,18659,5.27,-4.51,17230
"Arbeitslose","Deutsche",2019,"201909",17068,17882,-4.21,-4.55,17162
"Arbeitslose","Deutsche",2019,"201910",16878,17292,-1.11,-2.39,17127
"Arbeitslose","Deutsche",2019,"201911",16303,16742,-3.41,-2.62,17091
"Arbeitslose","Deutsche",2019,"201912",16557,16801,1.56,-1.45,17070
"Arbeitslose","Deutsche",2018,"201801",19921,21117,10.5,-5.66,19484
"Arbeitslose","Deutsche",2018,"201802",19220,20678,-3.52,-7.05,19363
"Arbeitslose","Deutsche",2018,"201803",18564,20154,-3.41,-7.89,19230
"Arbeitslose","Deutsche",2018,"201804",18366,19914,-1.07,-7.77,19101
"Arbeitslose","Deutsche",2018,"201805",17836,19548,-2.89,-8.76,18958
"Arbeitslose","Deutsche",2018,"201806",17721,19081,-0.64,-7.13,18845
"Arbeitslose","Deutsche",2018,"201807",17640,19469,-0.46,-9.39,18693
"Arbeitslose","Deutsche",2018,"201808",18659,20508,5.78,-9.02,18539
"Arbeitslose","Deutsche",2018,"201809",17882,19383,-4.16,-7.74,18413
"Arbeitslose","Deutsche",2018,"201810",17292,18795,-3.3,-8,18288
"Arbeitslose","Deutsche",2018,"201811",16742,18329,-3.18,-8.66,18156
"Arbeitslose","Deutsche",2018,"201812",16801,18028,0.35,-6.81,18054
"Arbeitslose","Deutsche",2017,"201701",21117,23768,8.68,-11.15,21036
"Arbeitslose","Deutsche",2017,"201702",20678,22849,-2.08,-9.5,20856
"Arbeitslose","Deutsche",2017,"201703",20154,22283,-2.53,-9.55,20678
"Arbeitslose","Deutsche",2017,"201704",19914,22014,-1.19,-9.54,20503
"Arbeitslose","Deutsche",2017,"201705",19548,21478,-1.84,-8.99,20342
"Arbeitslose","Deutsche",2017,"201706",19081,20417,-2.39,-6.54,20231
"Arbeitslose","Deutsche",2017,"201707",19469,20827,2.03,-6.52,20118
"Arbeitslose","Deutsche",2017,"201708",20508,21528,5.34,-4.74,20033
"Arbeitslose","Deutsche",2017,"201709",19383,20935,-5.49,-7.41,19903
"Arbeitslose","Deutsche",2017,"201710",18795,19910,-3.03,-5.6,19811
"Arbeitslose","Deutsche",2017,"201711",18329,19649,-2.48,-6.72,19701
"Arbeitslose","Deutsche",2017,"201712",18028,19430,-1.64,-7.22,19584
"Arbeitslose","Deutsche",2016,"201601",23768,24432,11.68,-2.72,22614
"Arbeitslose","Deutsche",2016,"201602",22849,23677,-3.87,-3.5,22545
"Arbeitslose","Deutsche",2016,"201603",22283,22909,-2.48,-2.73,22493
"Arbeitslose","Deutsche",2016,"201604",22014,22946,-1.21,-4.06,22416
"Arbeitslose","Deutsche",2016,"201605",21478,22438,-2.43,-4.28,22336
"Arbeitslose","Deutsche",2016,"201606",20417,22129,-4.94,-7.74,22193
"Arbeitslose","Deutsche",2016,"201607",20827,22770,2.01,-8.53,22031
"Arbeitslose","Deutsche",2016,"201608",21528,23102,3.37,-6.81,21900
"Arbeitslose","Deutsche",2016,"201609",20935,22820,-2.75,-8.26,21743
"Arbeitslose","Deutsche",2016,"201610",19910,21869,-4.9,-8.96,21579
"Arbeitslose","Deutsche",2016,"201611",19649,21661,-1.31,-9.29,21412
"Arbeitslose","Deutsche",2016,"201612",19430,21283,-1.11,-8.71,21257
"Arbeitslose","Deutsche",2015,"201501",24432,25156,10.83,-2.88,23521
"Arbeitslose","Deutsche",2015,"201502",23677,24682,-3.09,-4.07,23438
"Arbeitslose","Deutsche",2015,"201503",22909,24312,-3.24,-5.77,23321
"Arbeitslose","Deutsche",2015,"201504",22946,23868,0.16,-3.86,23244
"Arbeitslose","Deutsche",2015,"201505",22438,23600,-2.21,-4.92,23147
"Arbeitslose","Deutsche",2015,"201506",22129,23304,-1.38,-5.04,23049
"Arbeitslose","Deutsche",2015,"201507",22770,23550,2.9,-3.31,22984
"Arbeitslose","Deutsche",2015,"201508",23102,23836,1.46,-3.08,22923
"Arbeitslose","Deutsche",2015,"201509",22820,23565,-1.22,-3.16,22861
"Arbeitslose","Deutsche",2015,"201510",21869,22863,-4.17,-4.35,22778
"Arbeitslose","Deutsche",2015,"201511",21661,22199,-0.95,-2.42,22733
"Arbeitslose","Deutsche",2015,"201512",21283,22045,-1.75,-3.46,22670
"Arbeitslose","Deutsche",2014,"201401",25156,24492,11.71,2.71,23448
"Arbeitslose","Deutsche",2014,"201402",24682,23854,-1.88,3.47,23517
"Arbeitslose","Deutsche",2014,"201403",24312,23515,-1.5,3.39,23583
"Arbeitslose","Deutsche",2014,"201404",23868,23353,-1.83,2.21,23626
"Arbeitslose","Deutsche",2014,"201405",23600,23001,-1.12,2.6,23676
"Arbeitslose","Deutsche",2014,"201406",23304,22889,-1.25,1.81,23711
"Arbeitslose","Deutsche",2014,"201407",23550,23502,1.06,0.2,23715
"Arbeitslose","Deutsche",2014,"201408",23836,24388,1.21,-2.26,23669
"Arbeitslose","Deutsche",2014,"201409",23565,23571,-1.14,-0.03,23668
"Arbeitslose","Deutsche",2014,"201410",22863,23015,-2.98,-0.66,23656
"Arbeitslose","Deutsche",2014,"201411",22199,22612,-2.9,-1.83,23621
"Arbeitslose","Deutsche",2014,"201412",22045,22520,-0.69,-2.11,23582
"Arbeitslose","Deutsche",2013,"201301",24492,22678,13.17,8,22242
"Arbeitslose","Deutsche",2013,"201302",23854,22410,-2.6,6.44,22362
"Arbeitslose","Deutsche",2013,"201303",23515,22195,-1.42,5.95,22472
"Arbeitslose","Deutsche",2013,"201304",23353,22342,-0.69,4.53,22557
"Arbeitslose","Deutsche",2013,"201305",23001,21801,-1.51,5.5,22657
"Arbeitslose","Deutsche",2013,"201306",22889,21620,-0.49,5.87,22762
"Arbeitslose","Deutsche",2013,"201307",23502,22492,2.68,4.49,22847
"Arbeitslose","Deutsche",2013,"201308",24388,22952,3.77,6.26,22966
"Arbeitslose","Deutsche",2013,"201309",23571,22006,-3.35,7.11,23097
"Arbeitslose","Deutsche",2013,"201310",23015,21632,-2.36,6.39,23212
"Arbeitslose","Deutsche",2013,"201311",22612,21320,-1.75,6.06,23320
"Arbeitslose","Deutsche",2013,"201312",22520,21642,-0.41,4.06,23393
"Arbeitslose","Deutsche",2012,"201201",22678,26047,10.85,-12.93,22909
"Arbeitslose","Deutsche",2012,"201202",22410,25049,-1.18,-10.54,22689
"Arbeitslose","Deutsche",2012,"201203",22195,24864,-0.96,-10.73,22467
"Arbeitslose","Deutsche",2012,"201204",22342,24379,0.66,-8.36,22297
"Arbeitslose","Deutsche",2012,"201205",21801,23721,-2.42,-8.09,22137
"Arbeitslose","Deutsche",2012,"201206",21620,23006,-0.83,-6.02,22022
"Arbeitslose","Deutsche",2012,"201207",22492,22975,4.03,-2.1,21982
"Arbeitslose","Deutsche",2012,"201208",22952,23358,2.05,-1.74,21948
"Arbeitslose","Deutsche",2012,"201209",22006,22049,-4.12,-0.2,21944
"Arbeitslose","Deutsche",2012,"201210",21632,21675,-1.7,-0.2,21941
"Arbeitslose","Deutsche",2012,"201211",21320,20700,-1.44,3,21992
"Arbeitslose","Deutsche",2012,"201212",21642,20458,1.51,5.79,22091
"Arbeitslose","Deutsche",2011,"201101",26047,28685,9.04,-9.2,25355
"Arbeitslose","Deutsche",2011,"201102",25049,28031,-3.83,-10.64,25107
"Arbeitslose","Deutsche",2011,"201103",24864,27265,-0.74,-8.81,24907
"Arbeitslose","Deutsche",2011,"201104",24379,26813,-1.95,-9.08,24704
"Arbeitslose","Deutsche",2011,"201105",23721,25629,-2.7,-7.44,24545
"Arbeitslose","Deutsche",2011,"201106",23006,24740,-3.01,-7.01,24401
"Arbeitslose","Deutsche",2011,"201107",22975,24815,-0.13,-7.41,24247
"Arbeitslose","Deutsche",2011,"201108",23358,25346,1.67,-7.84,24082
"Arbeitslose","Deutsche",2011,"201109",22049,24149,-5.6,-8.7,23907
"Arbeitslose","Deutsche",2011,"201110",21675,23847,-1.7,-9.11,23726
"Arbeitslose","Deutsche",2011,"201111",20700,23696,-4.5,-12.64,23476
"Arbeitslose","Deutsche",2011,"201112",20458,23887,-1.17,-14.36,23190
"Arbeitslose","Deutsche",2010,"201001",28685,25606,8.51,12.02,27290
"Arbeitslose","Deutsche",2010,"201002",28031,25910,-2.28,8.19,27467
"Arbeitslose","Deutsche",2010,"201003",27265,26357,-2.73,3.45,27543
"Arbeitslose","Deutsche",2010,"201004",26813,27265,-1.66,-1.66,27505
"Arbeitslose","Deutsche",2010,"201005",25629,27081,-4.42,-5.36,27384
"Arbeitslose","Deutsche",2010,"201006",24740,27275,-3.47,-9.29,27173
"Arbeitslose","Deutsche",2010,"201007",24815,27710,0.3,-10.45,26931
"Arbeitslose","Deutsche",2010,"201008",25346,28599,2.14,-11.37,26660
"Arbeitslose","Deutsche",2010,"201009",24149,28227,-4.72,-14.45,26321
"Arbeitslose","Deutsche",2010,"201010",23847,27214,-1.25,-12.37,26040
"Arbeitslose","Deutsche",2010,"201011",23696,26724,-0.63,-11.33,25788
"Arbeitslose","Deutsche",2010,"201012",23887,26435,0.81,-9.64,25575
"Arbeitslose","Deutsche",2009,"200901",25606,25780,11.45,-0.67,23627
"Arbeitslose","Deutsche",2009,"200902",25910,25043,1.19,3.46,23699
"Arbeitslose","Deutsche",2009,"200903",26357,24467,1.73,7.72,23856
"Arbeitslose","Deutsche",2009,"200904",27265,24304,3.45,12.18,24103
"Arbeitslose","Deutsche",2009,"200905",27081,23822,-0.67,13.68,24375
"Arbeitslose","Deutsche",2009,"200906",27275,23110,0.72,18.02,24722
"Arbeitslose","Deutsche",2009,"200907",27710,23123,1.59,19.84,25104
"Arbeitslose","Deutsche",2009,"200908",28599,23683,3.21,20.76,25514
"Arbeitslose","Deutsche",2009,"200909",28227,22514,-1.3,25.38,25990
"Arbeitslose","Deutsche",2009,"200910",27214,22514,-3.59,20.88,26382
"Arbeitslose","Deutsche",2009,"200911",26724,22359,-1.8,19.52,26745
"Arbeitslose","Deutsche",2009,"200912",26435,22975,-1.08,15.06,27034
"Arbeitslose","Deutsche",2008,"200801",25780,29957,6.48,-13.94,26861
"Arbeitslose","Deutsche",2008,"200802",25043,29557,-2.86,-15.27,26485
"Arbeitslose","Deutsche",2008,"200803",24467,29173,-2.3,-16.13,26093
"Arbeitslose","Deutsche",2008,"200804",24304,28456,-0.67,-14.59,25747
"Arbeitslose","Deutsche",2008,"200805",23822,27655,-1.98,-13.86,25427
"Arbeitslose","Deutsche",2008,"200806",23110,26904,-2.99,-14.1,25111
"Arbeitslose","Deutsche",2008,"200807",23123,26761,0.06,-13.59,24808
"Arbeitslose","Deutsche",2008,"200808",23683,27105,2.42,-12.62,24523
"Arbeitslose","Deutsche",2008,"200809",22514,26417,-4.94,-14.77,24197
"Arbeitslose","Deutsche",2008,"200810",22514,25445,0,-11.52,23953
"Arbeitslose","Deutsche",2008,"200811",22359,24866,-0.69,-10.08,23744
"Arbeitslose","Deutsche",2008,"200812",22975,24212,2.76,-5.11,23641
"Arbeitslose","Deutsche",2007,"200701",29957,37813,4.27,-20.78,32520
"Arbeitslose","Deutsche",2007,"200702",29557,37158,-1.34,-20.46,31887
"Arbeitslose","Deutsche",2007,"200703",29173,36752,-1.3,-20.62,31255
"Arbeitslose","Deutsche",2007,"200704",28456,35690,-2.46,-20.27,30652
"Arbeitslose","Deutsche",2007,"200705",27655,34193,-2.81,-19.12,30107
"Arbeitslose","Deutsche",2007,"200706",26904,33087,-2.72,-18.69,29592
"Arbeitslose","Deutsche",2007,"200707",26761,32437,-0.53,-17.5,29119
"Arbeitslose","Deutsche",2007,"200708",27105,32435,1.29,-16.43,28675
"Arbeitslose","Deutsche",2007,"200709",26417,30735,-2.54,-14.05,28315
"Arbeitslose","Deutsche",2007,"200710",25445,29813,-3.68,-14.65,27951
"Arbeitslose","Deutsche",2007,"200711",24866,29251,-2.28,-14.99,27586
"Arbeitslose","Deutsche",2007,"200712",24212,28731,-2.63,-15.73,27209
"Arbeitslose","Deutsche",2006,"200601",37813,,,,37813
"Arbeitslose","Deutsche",2006,"200602",37158,,-1.73,,37486
"Arbeitslose","Deutsche",2006,"200603",36752,,-1.09,,37241
"Arbeitslose","Deutsche",2006,"200604",35690,,-2.89,,36853
"Arbeitslose","Deutsche",2006,"200605",34193,,-4.19,,36321
"Arbeitslose","Deutsche",2006,"200606",33087,,-3.23,,35782
"Arbeitslose","Deutsche",2006,"200607",32437,,-1.96,,35304
"Arbeitslose","Deutsche",2006,"200608",32435,,-0.01,,34946
"Arbeitslose","Deutsche",2006,"200609",30735,,-5.24,,34478
"Arbeitslose","Deutsche",2006,"200610",29813,,-3,,34011
"Arbeitslose","Deutsche",2006,"200611",29251,,-1.89,,33579
"Arbeitslose","Deutsche",2006,"200612",28731,,-1.78,,33175
"Arbeitslose","Frauen",2022,"202201",17732,21286,6.14,-16.7,19438
"Arbeitslose","Frauen",2022,"202202",17111,21211,-3.5,-19.33,19097
"Arbeitslose","Frauen",2022,"202203",16920,21155,-1.12,-20.02,18744
"Arbeitslose","Frauen",2022,"202204",16687,20939,-1.38,-20.31,18389
"Arbeitslose","Frauen",2022,"202205",16196,20597,-2.94,-21.37,18023
"Arbeitslose","Frauen",2022,"202206",18230,20067,12.56,-9.15,17870
"Arbeitslose","Frauen",2022,"202207",19507,19870,7,-1.83,17839
"Arbeitslose","Frauen",2022,"202208",20628,20191,5.75,2.16,17876
"Arbeitslose","Frauen",2022,"202209",,19367,,,
"Arbeitslose","Frauen",2022,"202210",,18249,,,
"Arbeitslose","Frauen",2022,"202211",,17174,,,
"Arbeitslose","Frauen",2022,"202212",,16707,,,
"Arbeitslose","Frauen",2021,"202101",21286,15212,7.3,39.93,20086
"Arbeitslose","Frauen",2021,"202102",21211,14894,-0.35,42.41,20613
"Arbeitslose","Frauen",2021,"202103",21155,14834,-0.26,42.61,21139
"Arbeitslose","Frauen",2021,"202104",20939,18626,-1.02,12.42,21332
"Arbeitslose","Frauen",2021,"202105",20597,20860,-1.63,-1.26,21310
"Arbeitslose","Frauen",2021,"202106",20067,21730,-2.57,-7.65,21172
"Arbeitslose","Frauen",2021,"202107",19870,22075,-0.98,-9.99,20988
"Arbeitslose","Frauen",2021,"202108",20191,22784,1.62,-11.38,20772
"Arbeitslose","Frauen",2021,"202109",19367,22386,-4.08,-13.49,20520
"Arbeitslose","Frauen",2021,"202110",18249,21442,-5.77,-14.89,20254
"Arbeitslose","Frauen",2021,"202111",17174,20279,-5.89,-15.31,19995
"Arbeitslose","Frauen",2021,"202112",16707,19837,-2.72,-15.78,19734
"Arbeitslose","Frauen",2020,"202001",15212,15103,10.4,0.72,14443
"Arbeitslose","Frauen",2020,"202002",14894,14463,-2.09,2.98,14479
"Arbeitslose","Frauen",2020,"202003",14834,14279,-0.4,3.89,14525
"Arbeitslose","Frauen",2020,"202004",18626,14127,25.56,31.85,14900
"Arbeitslose","Frauen",2020,"202005",20860,14317,11.99,45.7,15445
"Arbeitslose","Frauen",2020,"202006",21730,14200,4.17,53.03,16073
"Arbeitslose","Frauen",2020,"202007",22075,14553,1.59,51.69,16699
"Arbeitslose","Frauen",2020,"202008",22784,15472,3.21,47.26,17309
"Arbeitslose","Frauen",2020,"202009",22386,14679,-1.75,52.5,17951
"Arbeitslose","Frauen",2020,"202010",21442,14459,-4.22,48.3,18533
"Arbeitslose","Frauen",2020,"202011",20279,13773,-5.42,47.24,19075
"Arbeitslose","Frauen",2020,"202012",19837,13779,-2.18,43.97,19580
"Arbeitslose","Frauen",2019,"201901",15103,16826,7.59,-10.24,15273
"Arbeitslose","Frauen",2019,"201902",14463,16226,-4.24,-10.87,15126
"Arbeitslose","Frauen",2019,"201903",14279,15671,-1.27,-8.88,15010
"Arbeitslose","Frauen",2019,"201904",14127,15746,-1.06,-10.28,14875
"Arbeitslose","Frauen",2019,"201905",14317,15341,1.34,-6.67,14789
"Arbeitslose","Frauen",2019,"201906",14200,15175,-0.82,-6.43,14708
"Arbeitslose","Frauen",2019,"201907",14553,15169,2.49,-4.06,14657
"Arbeitslose","Frauen",2019,"201908",15472,16048,6.31,-3.59,14609
"Arbeitslose","Frauen",2019,"201909",14679,15580,-5.13,-5.78,14534
"Arbeitslose","Frauen",2019,"201910",14459,14934,-1.5,-3.18,14494
"Arbeitslose","Frauen",2019,"201911",13773,14239,-4.74,-3.27,14455
"Arbeitslose","Frauen",2019,"201912",13779,14038,0.04,-1.84,14434
"Arbeitslose","Frauen",2018,"201801",16826,17522,8.29,-3.97,16799
"Arbeitslose","Frauen",2018,"201802",16226,17353,-3.57,-6.49,16705
"Arbeitslose","Frauen",2018,"201803",15671,17042,-3.42,-8.04,16591
"Arbeitslose","Frauen",2018,"201804",15746,16930,0.48,-6.99,16492
"Arbeitslose","Frauen",2018,"201805",15341,16735,-2.57,-8.33,16376
"Arbeitslose","Frauen",2018,"201806",15175,16621,-1.08,-8.7,16256
"Arbeitslose","Frauen",2018,"201807",15169,16979,-0.04,-10.66,16105
"Arbeitslose","Frauen",2018,"201808",16048,17886,5.79,-10.28,15952
"Arbeitslose","Frauen",2018,"201809",15580,17157,-2.92,-9.19,15820
"Arbeitslose","Frauen",2018,"201810",14934,16491,-4.15,-9.44,15691
"Arbeitslose","Frauen",2018,"201811",14239,16032,-4.65,-11.18,15541
"Arbeitslose","Frauen",2018,"201812",14038,15538,-1.41,-9.65,15416
"Arbeitslose","Frauen",2017,"201701",17522,18864,7.14,-7.11,17474
"Arbeitslose","Frauen",2017,"201702",17353,18262,-0.96,-4.98,17399
"Arbeitslose","Frauen",2017,"201703",17042,17975,-1.79,-5.19,17321
"Arbeitslose","Frauen",2017,"201704",16930,17846,-0.66,-5.13,17245
"Arbeitslose","Frauen",2017,"201705",16735,17683,-1.15,-5.36,17166
"Arbeitslose","Frauen",2017,"201706",16621,17100,-0.68,-2.8,17126
"Arbeitslose","Frauen",2017,"201707",16979,17430,2.15,-2.59,17088
"Arbeitslose","Frauen",2017,"201708",17886,18150,5.34,-1.45,17066
"Arbeitslose","Frauen",2017,"201709",17157,17830,-4.08,-3.77,17010
"Arbeitslose","Frauen",2017,"201710",16491,16976,-3.88,-2.86,16970
"Arbeitslose","Frauen",2017,"201711",16032,16564,-2.78,-3.21,16925
"Arbeitslose","Frauen",2017,"201712",15538,16354,-3.08,-4.99,16857
"Arbeitslose","Frauen",2016,"201601",18864,19396,8.9,-2.74,18494
"Arbeitslose","Frauen",2016,"201602",18262,18836,-3.19,-3.05,18446
"Arbeitslose","Frauen",2016,"201603",17975,18395,-1.57,-2.28,18411
"Arbeitslose","Frauen",2016,"201604",17846,18652,-0.72,-4.32,18344
"Arbeitslose","Frauen",2016,"201605",17683,18291,-0.91,-3.32,18294
"Arbeitslose","Frauen",2016,"201606",17100,18188,-3.3,-5.98,18203
"Arbeitslose","Frauen",2016,"201607",17430,18838,1.93,-7.47,18086
"Arbeitslose","Frauen",2016,"201608",18150,19136,4.13,-5.15,18003
"Arbeitslose","Frauen",2016,"201609",17830,19053,-1.76,-6.42,17901
"Arbeitslose","Frauen",2016,"201610",16976,18292,-4.79,-7.19,17792
"Arbeitslose","Frauen",2016,"201611",16564,18062,-2.43,-8.29,17667
"Arbeitslose","Frauen",2016,"201612",16354,17323,-1.27,-5.59,17586
"Arbeitslose","Frauen",2015,"201501",19396,19728,9.24,-1.68,19067
"Arbeitslose","Frauen",2015,"201502",18836,19551,-2.89,-3.66,19008
"Arbeitslose","Frauen",2015,"201503",18395,19453,-2.34,-5.44,18919
"Arbeitslose","Frauen",2015,"201504",18652,19196,1.4,-2.83,18874
"Arbeitslose","Frauen",2015,"201505",18291,19174,-1.94,-4.61,18800
"Arbeitslose","Frauen",2015,"201506",18188,19134,-0.56,-4.94,18722
"Arbeitslose","Frauen",2015,"201507",18838,19283,3.57,-2.31,18685
"Arbeitslose","Frauen",2015,"201508",19136,19570,1.58,-2.22,18648
"Arbeitslose","Frauen",2015,"201509",19053,19434,-0.43,-1.96,18617
"Arbeitslose","Frauen",2015,"201510",18292,18739,-3.99,-2.39,18579
"Arbeitslose","Frauen",2015,"201511",18062,18119,-1.26,-0.31,18575
"Arbeitslose","Frauen",2015,"201512",17323,17756,-4.09,-2.44,18539
"Arbeitslose","Frauen",2014,"201401",19728,18952,9.91,4.09,18678
"Arbeitslose","Frauen",2014,"201402",19551,18464,-0.9,5.89,18769
"Arbeitslose","Frauen",2014,"201403",19453,18489,-0.5,5.21,18849
"Arbeitslose","Frauen",2014,"201404",19196,18456,-1.32,4.01,18911
"Arbeitslose","Frauen",2014,"201405",19174,18219,-0.11,5.24,18990
"Arbeitslose","Frauen",2014,"201406",19134,18300,-0.21,4.56,19060
"Arbeitslose","Frauen",2014,"201407",19283,18671,0.78,3.28,19111
"Arbeitslose","Frauen",2014,"201408",19570,19568,1.49,0.01,19111
"Arbeitslose","Frauen",2014,"201409",19434,19263,-0.69,0.89,19125
"Arbeitslose","Frauen",2014,"201410",18739,18727,-3.58,0.06,19126
"Arbeitslose","Frauen",2014,"201411",18119,18304,-3.31,-1.01,19111
"Arbeitslose","Frauen",2014,"201412",17756,17950,-2,-1.08,19095
"Arbeitslose","Frauen",2013,"201301",18952,17719,11.33,6.96,17597
"Arbeitslose","Frauen",2013,"201302",18464,17420,-2.57,5.99,17684
"Arbeitslose","Frauen",2013,"201303",18489,17347,0.14,6.58,17779
"Arbeitslose","Frauen",2013,"201304",18456,17658,-0.18,4.52,17846
"Arbeitslose","Frauen",2013,"201305",18219,17252,-1.28,5.61,17926
"Arbeitslose","Frauen",2013,"201306",18300,17130,0.44,6.83,18024
"Arbeitslose","Frauen",2013,"201307",18671,17892,2.03,4.35,18089
"Arbeitslose","Frauen",2013,"201308",19568,18413,4.8,6.27,18185
"Arbeitslose","Frauen",2013,"201309",19263,17744,-1.56,8.56,18311
"Arbeitslose","Frauen",2013,"201310",18727,17318,-2.78,8.14,18429
"Arbeitslose","Frauen",2013,"201311",18304,17012,-2.26,7.59,18536
"Arbeitslose","Frauen",2013,"201312",17950,17024,-1.93,5.44,18614
"Arbeitslose","Frauen",2012,"201201",17719,19438,8.45,-8.84,17942
"Arbeitslose","Frauen",2012,"201202",17420,18874,-1.69,-7.7,17820
"Arbeitslose","Frauen",2012,"201203",17347,18875,-0.42,-8.1,17693
"Arbeitslose","Frauen",2012,"201204",17658,18587,1.79,-5,17616
"Arbeitslose","Frauen",2012,"201205",17252,18456,-2.3,-6.52,17515
"Arbeitslose","Frauen",2012,"201206",17130,18017,-0.71,-4.92,17441
"Arbeitslose","Frauen",2012,"201207",17892,18080,4.45,-1.04,17426
"Arbeitslose","Frauen",2012,"201208",18413,18517,2.91,-0.56,17417
"Arbeitslose","Frauen",2012,"201209",17744,17679,-3.63,0.37,17422
"Arbeitslose","Frauen",2012,"201210",17318,17390,-2.4,-0.41,17416
"Arbeitslose","Frauen",2012,"201211",17012,16765,-1.77,1.47,17437
"Arbeitslose","Frauen",2012,"201212",17024,16339,0.07,4.19,17494
"Arbeitslose","Frauen",2011,"201101",19438,20350,6.77,-4.48,18998
"Arbeitslose","Frauen",2011,"201102",18874,19874,-2.9,-5.03,18915
"Arbeitslose","Frauen",2011,"201103",18875,19479,0.01,-3.1,18864
"Arbeitslose","Frauen",2011,"201104",18587,19624,-1.53,-5.28,18778
"Arbeitslose","Frauen",2011,"201105",18456,18946,-0.7,-2.59,18737
"Arbeitslose","Frauen",2011,"201106",18017,18530,-2.38,-2.77,18694
"Arbeitslose","Frauen",2011,"201107",18080,18754,0.35,-3.59,18638
"Arbeitslose","Frauen",2011,"201108",18517,19360,2.42,-4.35,18568
"Arbeitslose","Frauen",2011,"201109",17679,18681,-4.53,-5.36,18484
"Arbeitslose","Frauen",2011,"201110",17390,18611,-1.63,-6.56,18383
"Arbeitslose","Frauen",2011,"201111",16765,18471,-3.59,-9.24,18240
"Arbeitslose","Frauen",2011,"201112",16339,18206,-2.54,-10.25,18085
"Arbeitslose","Frauen",2010,"201001",20350,18861,5.71,7.89,19821
